bigram,category,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022
colonial pipeline,usa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0
condo collapse,catastrophe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,420,0,0,0,0,0,0,0,0,0,0
coney barrett,usa,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conference call,general,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus crisis,covid,0,0,0,0,0,0,91,1393,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus death,covid,0,0,0,0,0,0,0,896,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus deaths,covid,0,0,0,0,0,0,0,781,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus fears,covid,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus lockdown,covid,0,0,0,0,0,0,0,1385,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus outbreak,covid,0,0,0,0,0,0,74,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus pandemic,covid,0,0,0,0,0,0,0,2036,1561,765,822,488,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus response,covid,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus testing,covid,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus vaccine,covid,0,0,0,0,0,0,41,0,524,0,515,421,644,0,815,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
covid 19,covid,0,0,0,0,0,0,165,19991,18683,15418,15469,14123,13697,19453,16548,19846,13823,15538,14775,14091,12296,13257,12099,9579,9485,7593,9452,9273,4779,1394,3539,1500
covid vaccine,covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,1352,1008,997,816,654,596,495,750,624,649,393,297,322,315,0,0,0
covid variant,covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0
critical race,usa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0
cruise ship,covid,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyber monday,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0
daunte wright,blm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0
